12.MMHAP34FLD3.seq	WC6.49
12.MMHAP35FLD3.seq	WC1.2
12.MMHAP36FLD3.seq	WC12.27
12.MMHAP37FRD9.seq	WC4.31
12.MMHAP38FRD9.seq	WC7.11
12.MMHAP3FLD3.seq	WC16.3
12.MMHAP44FRD9.seq	WC5.59
12.MMHAP50FRD9.seq	WC2.47
12.MMHAP53FLD3.seq	WC14.2
12.MMHAP54FLD3.seq	WC9.35
12.MMHAP58FLD3.seq	WC8.32
12.MMHAP59FRD9.seq	WC17.8
12.MMHAP61FRD9.seq	WC8.17
12.MMHAP64FRD9.seq	WC3.42
12.MMHAP65FLD3.seq	WC11.34
12.MMHAP67FRD9.seq	WC6.29
12.MMHAP70FLD3.seq	WC6.19
12.MMHAP70FRD9.seq	WC7.14
12.MMHAP79FRD9.seq	WC7.15
12.MMHAP7FLD3.seq	WC15.8
12.MMHAP81FLD3.seq	WC2.3
12.MMHAP84FRD9.seq	WC4.54
12.MMHAP85FLD3.seq	WC2.28
12.MMHAP85FRD9.seq	WC3.16
12.MMHAP87FLD3.seq	WC12.0
12.MMHAP88FRD9.seq	WC5.25
12.MMHAP91FLD3.seq	WC12.30
12.MMHAP97FRD9.seq	WC15.36
12.mhaa80e.seq	WC9.7
12_5_11_1.seq	WC14.7
12_5_11_18.seq	WC13.11
12_5_11_6.seq	WCX.26
12_5_15_4.seq	WCX.26
12_5_15_7.seq	WCX.26
12_5_2_1.seq	WC18.20
12_5_2_2.seq	WC18.20
12_5_3_11.seq	WCX.26
12_5_5_1.seq	WC3.29
12_5_5_6.seq	WC3.29
12_5_5_9.seq	WC11.25
12_5_6_3.seq	WC18.27
12_5_6_6.seq	WC18.27
12_5_9_2.seq	WCX.26
13.MHAa56f1.seq	WC7.28
13.MHAa93f1.seq	WC7.21
13.MHAa96b1.seq	WC4.24
13.MMHAP10FE1.seq	WC12.21
13.MMHAP11FLE1.seq	WC7.34
13.MMHAP12FLE1.seq	WC9.5
13.MMHAP17FE1.seq	WC19.28
13.MMHAP17FRE7.seq	WC19.1
13.MMHAP20FRE7.seq	WC10.27
13.MMHAP21FLE1.seq	WC7.4
13.MMHAP22FRE7.seq	WC12.18
13.MMHAP25FLE1.seq	WC12.7
13.MMHAP25FRE7.seq	WC1.43
13.MMHAP27FLE1.seq	WC9.23
13.MMHAP27FRE7.seq	WC16.10
13.MMHAP28FLE1.seq	WC2.50
13.MMHAP28FRE7.seq	WC13.10
13.MMHAP29FRE7.seq	WC5.1
13.MMHAP35FLE1.seq	WC11.32
13.MMHAP42FLE1.seq	WC16.6
13.MMHAP44FRE7.seq	WC1.45
13.MMHAP45FRE7.seq	WC2.24
13.MMHAP47FLE1.seq	WC18.29
13.MMHAP4FLE1.seq	WC9.22
13.MMHAP4FRE7.seq	WC2.37
13.MMHAP54FLE1.seq	WC13.31
13.MMHAP57FRE7.seq	WC1.63
13.MMHAP59FRE7.seq	WC3.13
13.MMHAP61FRE7.seq	WC2.59
13.MMHAP62FLE1.seq	WC11.36
13.MMHAP62FRE7.seq	WC12.0
13.MMHAP64FLE1.seq	WC4.32
13.MMHAP66FLE1.seq	WC9.21
13.MMHAP68FRE7.seq	WC7.14
13.MMHAP69FLE1.seq	WC5.26
13.MMHAP6FLE1.seq	WC2.68
