43.MMHAP25FLG4.seq	WC5.48
43.MMHAP25FRG10.seq	WC2.10
43.MMHAP26FLG4.seq	WC3.5
43.MMHAP26FRG10.seq	WC9.23
43.MMHAP27FLG4.seq	WC9.25
43.MMHAP27FRG10.seq	WC5.14
43.MMHAP31FLG4.seq	WC3.45
44.MHAa42h8.seq	WC19.20
44.MHAa52h8.seq	WC19.13
44.MHAa63d8.seq	WC15.16
44.MHAa96d8.seq	WC2.16
44.MMHAP22FRG11.seq	WC13.22
44.MMHAP24FRG11.seq	WC1.45
44.MMHAP25FRG11.seq	WC9.6
44.MMHAP27FRG11.seq	WC6.45
44.MMHAP28FLG5.seq	WC4.51
45.G1_8_30_95a79B.seq	WC1.75
45.MHAa42h9.seq	WC18.22
45.MHAa49d9.seq	WC14.38
45.MHAa52h9.seq	WC16.8
45.MHAa55h9.seq	WC13.33
45.MHAa63d9.seq	WC5.14
45.MHAa64h9.seq	WCX.40
45.MHAa77d9.seq	WC2.45
45.MHAa89h9.seq	WC16.33
45.MHAa91h9.seq	WC8.38
45.MHAa92d9.seq	WC4.3
45.MHAa92h9.seq	WC8.37
45.MHAa93h9.seq	WC5.58
45.MMHAP12FLG6.seq	WC8.2
45.MMHAP12FRG12.seq	WC15.37
45.MMHAP22FRG12.seq	WC15.28
45.MMHAP25FRG12.seq	WC14.44
45.MMHAP26FRG12.seq	WC3.28
45.MMHAP27FRG12.seq	WC3.25
45.MMHAP28FLG6.seq	WC9.14
45.MMHAP29FLG6.seq	WC2.49
45.MMHAP32FLG6.seq	WC15.39
45.MMHAP33FLG6.seq	WC15.16
46.MHAa56h10.seq	WC4.37
46.MHAa62T.seq	WC14.44
46.MHAa63h10.seq	WC8.4
46.MHAa64h10.seq	WC1.16
46.MHAa65T_M13Rev.seq	WC16.26
46.MHAa89h10.seq	WC7.48
46.MHAa90d10.seq	WC11.7
46.MHAa92d10.seq	WC4.46
46.MHAa95d10.seq	WC8.38
46.MMHAP11FRH10.seq	WC13.20
46.MMHAP12FLH4.seq	WC18.16
46.MMHAP14FLH4.seq	WC8.29
46.MMHAP20FLH4.seq	WC11.9
46.MMHAP24FRH10.seq	WC19.23
46.MMHAP25FRH10.seq	WC6.37
46.MMHAP27FRH10.seq	WC16.24
46.MMHAP28FLH4.seq	WC12.10
46.MMHAP28FRH10.seq	WC6.25
46.MMHAP31FLH4.seq	WC16.21
47.E1_9_6_95.seq	WC9.32
47.MHAa52h11.seq	WC9.26
47.MHAa56h11.seq	WC8.29
