15.MHAa43d3.seq	WC-321
15.MHAa56f3.seq	WC-518
15.MHAa58b3.seq	WC-364
15.MHAa63b3.seq	WC-30
15.MHAa64f3.seq	WC-118
15.MHAa92b3.seq	WC-1508
15.MHAa98f3.seq	WC-307
15.MMHAP11FLE3.seq	WC-1489
15.MMHAP12FLE3.seq	WC-1149
15.MMHAP12FRE9.seq	WC-303
15.MMHAP14FLE3.seq	WC-143
15.MMHAP14FRE9.seq	WC-1065
15.MMHAP20FRE9.seq	WC-1466
15.MMHAP24FRE9.seq	WC-1387
15.MMHAP25FLE3.seq	WC-1258
15.MMHAP26FLE3.seq	WC-1326
15.MMHAP28FLE3.seq	WC-295
15.MMHAP28FRE9.seq	WC-743
16.MHAa10f4.seq	WC-1425
16.MHAa47b4.seq	WC-1182
16.MHAa63b4.seq	WC-423
16.MHAa65T_M13Rev.seq	WC-1451
16.MHAa75b4.seq	WC-1095
16.MHAa95b4.seq	WC-473
16.MHAa96b4.seq	WC-720
16.MMHAP10FRF7.seq	WC-780
16.MMHAP12FRF7.seq	WC-1150
16.MMHAP22FRF7.seq	WC-1444
16.MMHAP23FLF1.seq	WC-450
16.MMHAP23FRF7.seq	WC-1563
16.MMHAP24FLF1.seq	WC-1390
16.MMHAP26FLF1.seq	WC-50
16.MMHAP26FRF7.seq	WC-1581
16.MMHAP27FRF7.seq	WC-677
16.MMHAP28FLF1.seq	WC-1516
16.MMHAP32FLF1.seq	WC-1242
16.MMHAP33FRF7.seq	WC-1546
17.MHAa39B.seq	WC-871
17.MHAa43d5.seq	WC-1402
17.MHAa58b5.seq	WC-439
17.MHAa75b5.seq	WC-937
17.MHAa92b5.seq	WC-1174
17.MHAa96b5.seq	WC-570
17.MMHAP11FRF8.seq	WC-318
17.MMHAP22FRF8.seq	WC-1544
17.MMHAP23FLF2.seq	WC-1625
17.MMHAP24FLF2.seq	WC-186
17.MMHAP26FRF8.seq	WC-1162
17.MMHAP27FRF8.seq	WC-1384
17.MMHAP28FLF2.seq	WC-1643
17.MMHAP32FLF2.seq	WC-746
17.MMHAP33FLF2.seq	WC-1019
18.MHAa47b6.seq	WC-896
18.MHAa55T.seq	WC-168
18.MHAa90b6.seq	WC-1264
18.MMHAP11FRF9.seq	WC-521
18.MMHAP14FRF9.seq	WC-95
18.MMHAP22FRF9.seq	WC-1351
18.MMHAP23FLF3.seq	WC-828
18.MMHAP23FRF9.seq	WC-736
18.MMHAP25FLF3.seq	WC-1060
18.MMHAP25FRF9.seq	WC-807
18.MMHAP26FRF9.seq	WC-531
18.MMHAP27FLF3.seq	WC-759
18.MMHAP28FRF9.seq	WC-1381
18.MMHAP31FLF3.seq	WC-1473
18.mHAa3b6.seq	WC-308
19.MHAa43d7.seq	WC-318
19.MHAa58b7.seq	WC-1474
19.MHAa91f7.seq	WC-1321
19.MMHAP12FLG1.seq	WC-1154
19.MMHAP12FRG7.seq	WC-310
19.MMHAP25FLG1.seq	WC-1381
19.MMHAP26FLG1.seq	WC-976
19.MMHAP27FLG1.seq	WC-753
19.MMHAP27FRG7.seq	WC-1416
19.MMHAP28FRG7.seq	WC-584
19.MMHAP33FLG1.seq	WC-1199
19.MMHAP33FRG7.seq	WC-1416
19.mHAa3e7.seq	WC-483
19.mHAa9g7.seq	WC-969
20.E1_8_31_95.seq	WC-56
20.MHAa10f8.seq	WC-421
20.MHAa65T_M13Rev.seq	WC-15
20.MHAa89f8.seq	WC-1278
20.MHAa90f8.seq	WC-407
20.MHAa93f8.seq	WC-1095
20.MHAa95b8.seq	WC-1339
20.MHAa96b8.seq	WC-1183
20.MMHAP10FRG8.seq	WC-1156
20.MMHAP12FLG2.seq	WC-1583
20.MMHAP22FRG8.seq	WC-728
20.MMHAP23FLG2.seq	WC-432
20.MMHAP24FLG2.seq	WC-1489
20.MMHAP25FLG2.seq	WC-529
20.MMHAP25FRG8.seq	WC-730
20.MMHAP26FLG2.seq	WC-108
20.MMHAP28FLG2.seq	WC-688
20.MMHAP28FRG8.seq	WC-450
20.MMHAP31FLG2.seq	WC-849
20.MMHAP32FLG2.seq	WC-1084
20.MMHAP33FRG8.seq	WC-792
21.MHAa10f9.seq	WC-1059
21.MHAa42f9.seq	WC-1047
21.MHAa52f9.seq	WC-609
21.MHAa90f9.seq	WC-1074
21.MHAa93f9.seq	WC-97
21.MHAa98f9.seq	WC-1378
21.MMHAP14FLG3.seq	WC-1552
21.MMHAP14FRG9.seq	WC-920
21.MMHAP22FRG9.seq	WC-67
21.MMHAP25FLG3.seq	WC-266
21.MMHAP26FLG3.seq	WC-1592
21.MMHAP27FLG3.seq	WC-1032
21.MMHAP27FRG9.seq	WC-1649
21.MMHAP28FLG3.seq	WC-744
21.MMHAP28FRG9.seq	WC-612
21.MMHAP34FRG9.seq	WC-1429
22.MHAa10f10.seq	WC-1469
22.MHAa42f10.seq	WC-837
22.MHAa55f10.seq	WC-1644
22.MHAa58b10.seq	WC-1594
22.MHAa77b10.seq	WC-677
22.MHAa90f10.seq	WC-13
22.MHAa96b10.seq	WC-256
22.MMHAP12FRH7.seq	WC-1407
22.MMHAP25FLH1.seq	WC-1189
22.MMHAP25FRH7.seq	WC-1485
22.MMHAP26FLH1.seq	WC-601
22.MMHAP26FRH7.seq	WC-896
22.MMHAP28FLH1.seq	WC-1037
22.MMHAP28FRH7.seq	WC-1354
22.mHAa3b10.seq	WC-1131
22.mHAa3e10.seq	WC-108
23.MHAa43d11.seq	WC-911
23.MHAa63b11.seq	WC-680
23.MHAa81T_M13Rev.seq	WC-1583
23.MHAa89f11.seq	WC-1488
23.MHAa90f11.seq	WC-506
23.MHAa92f11.seq	WC-1611
23.MMHAP11FRH8.seq	WC-601
23.MMHAP14FLH2.seq	WC-65
23.MMHAP22FRH8.seq	WC-280
23.MMHAP24FRH8.seq	WC-173
23.MMHAP25FLH2.seq	WC-1238
23.MMHAP26FLH2.seq	WC-210
23.MMHAP27FRH8.seq	WC-336
23.MMHAP28FRH8.seq	WC-638
23.MMHAP34FRH8.seq	WC-812
23.mHAa8a11.seq	WC-1572
24.MHAa55f12.seq	WC-936
24.MHAa58b12.seq	WC-819
24.MHAa63b12.seq	WC-43
24.MHAa81T_M13Rev.seq	WC-1160
24.MHAa89f12.seq	WC-1466
24.MHAa90b12.seq	WC-1184
24.MHAa93f12.seq	WC-239
24.MHAa96b12.seq	WC-1336
24.MHAa98f12.seq	WC-1552
24.MMHAP11FLH3.seq	WC-1454
24.MMHAP25FLH3.seq	WC-84
24.MMHAP25FRH9.seq	WC-1689
24.MMHAP27FRH9.seq	WC-328
24.MMHAP33FLH3.seq	WC-1663
24.mhaa80e.seq	WC-638
25.MHAa52g1.seq	WC-581
25.MHAa55g1.seq	WC-1154
25.MHAa75c1.seq	WC-1109
25.MHAa91g1.seq	WC-1083
25.MHAa92c1.seq	WC-654
25.MHAa95c1.seq	WC-96
25.MMHAP11FLA4.seq	WC-160
25.MMHAP11FRA10.seq	WC-184
25.MMHAP14FLA4.seq	WC-1587
25.MMHAP24FRA10.seq	WC-1445
25.MMHAP25FRA10.seq	WC-1087
25.MMHAP28FRA10.seq	WC-596
25.MMHAP29FLA4.seq	WC-66
25.MMHAP32FLA4.seq	WC-312
25.MMHAP34FRA10.seq	WC-1152
25.mHAa3f1.seq	WC-677
25.mHAa8b1.seq	WC-1488
25.mHAa9h1.seq	WC-1121
26.MHAa43e2.seq	WC-1687
26.MHAa58c2.seq	WC-721
26.MHAa59c2.seq	WC-1445
26.MHAa63c2.seq	WC-1243
26.MHAa77c2.seq	WC-1409
26.MHAa90g2.seq	WC-1699
26.MHAa92c2.seq	WC-1592
26.MHAa93g2.seq	WC-1685
26.MHAa95c2.seq	WC-1247
26.MMHAP11FLA5.seq	WC-217
26.MMHAP11FRA11.seq	WC-1230
26.MMHAP12FLA5.seq	WC-1087
26.MMHAP20FRA11.seq	WC-962
26.MMHAP24FLA5.seq	WC-794
26.MMHAP24FRA11.seq	WC-660
26.MMHAP25FLA5.seq	WC-1085
26.MMHAP26FLA5.seq	WC-855
26.MMHAP26FRA11.seq	WC-1047
26.MMHAP28FLA5.seq	WC-1141
26.MMHAP32FLA5.seq	WC-677
26.mHAa8b2.seq	WC-1554
27.G1_8_30_95a79B.seq	WC-1496
27.MHAa58c3.seq	WC-1330
27.MHAa93g3.seq	WC-1374
27.MHAa98g3.seq	WC-1142
27.MMHAP11FRA12.seq	WC-760
27.MMHAP20FRA12.seq	WC-1428
27.MMHAP24FLA6.seq	WC-841
27.MMHAP25FLA6.seq	WC-1412
27.MMHAP26FRA12.seq	WC-1592
27.MMHAP28FLA6.seq	WC-13
27.MMHAP28FRA12.seq	WC-1390
27.MMHAP32FLA6.seq	WC-1414
27.mHAa3f3.seq	WC-1484
27.mHAa8b3.seq	WC-50
28.E1_9_6_95.seq	WC-396
28.MHAa58c4.seq	WC-241
28.MHAa63c4.seq	WC-1065
28.MHAa64g4.seq	WC-1445
28.MHAa65T_M13Rev.seq	WC-1228
28.MHAa96c4.seq	WC-119
28.MMHAP11FRB10.seq	WC-1203
28.MMHAP12FRB10.seq	WC-891
28.MMHAP24FRB10.seq	WC-494
28.MMHAP25FLB4.seq	WC-292
28.MMHAP26FRB10.seq	WC-1254
28.MMHAP27FRB10.seq	WC-492
28.MMHAP28FLB4.seq	WC-42
28.MMHAP28FRB10.seq	WC-1405
29.MHAa27B.seq	WC-1614
29.MHAa52g5.seq	WC-1404
29.MHAa59c5.seq	WC-612
29.MHAa64g5.seq	WC-389
29.MHAa77c5.seq	WC-1148
29.MHAa92g5.seq	WC-1426
29.MMHAP12FLB5.seq	WC-1635
29.MMHAP14FLB5.seq	WC-1518
29.MMHAP20FRB11.seq	WC-653
29.MMHAP22FRB11.seq	WC-1114
29.MMHAP23FLB5.seq	WC-1574
29.MMHAP24FLB5.seq	WC-1340
29.MMHAP24FRB11.seq	WC-1333
29.MMHAP25FRB11.seq	WC-13
29.MMHAP27FRB11.seq	WC-119
29.MMHAP28FLB5.seq	WC-870
29.MMHAP28FRB11.seq	WC-1062
29.MMHAP31FLB5.seq	WC-1690
30.MHAa52g6.seq	WC-672
30.MHAa58c6.seq	WC-271
30.MHAa89g6.seq	WC-1123
30.MHAa96c6.seq	WC-986
30.MMHAP11FLB6.seq	WC-1220
30.MMHAP12FLB6.seq	WC-1015
30.MMHAP12FRB12.seq	WC-1099
30.MMHAP14FLB6.seq	WC-1363
30.MMHAP22FRB12.seq	WC-1418
30.MMHAP23FLB6.seq	WC-582
30.MMHAP25FRB12.seq	WC-1370
30.MMHAP26FRB12.seq	WC-257
30.MMHAP27FRB12.seq	WC-1554
30.MMHAP28FLB6.seq	WC-423
30.MMHAP28FRB12.seq	WC-881
30.MMHAP31FLB6.seq	WC-1548
30.MMHAP34FRB12.seq	WC-10
30.mHAa3f6.seq	WC-1622
31.MHAa98g7.seq	WC-1426
31.MMHAP12FRC10.seq	WC-45
31.MMHAP22FRC10.seq	WC-1146
31.MMHAP23FLC4.seq	WC-581
31.MMHAP25FLC4.seq	WC-721
31.MMHAP25FRC10.seq	WC-53
31.MMHAP26FRC10.seq	WC-57
31.MMHAP27FLC4.seq	WC-1107
31.MMHAP27FRC10.seq	WC-385
31.MMHAP28FLC4.seq	WC-50
31.MMHAP28FRC10.seq	WC-541
31.MMHAP32FLC4.seq	WC-1343
31.MMHAP33FLC4.seq	WC-216
32.MHAa43e8.seq	WC-957
32.MHAa55g8.seq	WC-1288
32.MHAa56g8.seq	WC-1217
32.MHAa63g8.seq	WC-524
32.MHAa79T.seq	WC-419
32.MHAa96c8.seq	WC-1392
32.MMHAP11FLC5.seq	WC-384
32.MMHAP23FLC5.seq	WC-1482
32.MMHAP23FRC11.seq	WC-575
32.MMHAP26FRC11.seq	WC-295
32.MMHAP27FLC5.seq	WC-268
32.MMHAP28FLC5.seq	WC-1129
32.MMHAP32FLC5.seq	WC-1314
32.mHAa3f8.seq	WC-963
32.mHAa8b8.seq	WC-166
33.MHAa10g9.seq	WC-1388
33.MHAa42g9.seq	WC-1004
33.MHAa50g9.seq	WC-1024
33.MHAa63c9.seq	WC-775
33.MHAa77c9.seq	WC-40
33.MHAa79T.seq	WC-311
33.MHAa90c9.seq	WC-1534
33.MHAa90g9.seq	WC-6
33.MHAa92c9.seq	WC-711
33.MHAa92g9.seq	WC-1532
33.MHAa95c9.seq	WC-763
33.MMHAP12FRC12.seq	WC-407
33.MMHAP20FRC12.seq	WC-332
33.MMHAP25FLC6.seq	WC-1517
33.MMHAP26FLC6.seq	WC-298
33.MMHAP27FRC12.seq	WC-898
33.MMHAP28FLC6.seq	WC-308
33.MMHAP29FLC6.seq	WC-334
33.MMHAP32FLC6.seq	WC-658
33.mHAa9h9.seq	WC-1659
34.E1_9_6_95.seq	WC-92
34.MHAa56g10.seq	WC-40
34.MHAa59c10.seq	WC-1422
34.MHAa63g10.seq	WC-1295
34.MHAa65T_M13Rev.seq	WC-1676
34.MHAa91g10.seq	WC-1183
34.MHAa92c10.seq	WC-1523
34.MMHAP11FLD4.seq	WC-1342
34.MMHAP12FRD10.seq	WC-389
34.MMHAP14FLD4.seq	WC-738
34.MMHAP22FRD10.seq	WC-379
34.MMHAP23FLD4.seq	WC-929
34.MMHAP26FLD4.seq	WC-401
34.MMHAP26FRD10.seq	WC-780
34.MMHAP27FLD4.seq	WC-1591
34.MMHAP27FRD10.seq	WC-407
34.MMHAP28FLD4.seq	WC-668
34.MMHAP28FRD10.seq	WC-1044
34.MMHAP33FLD4.seq	WC-1212
34.mHAa3f10.seq	WC-1043
34.mHAa8b10.seq	WC-1026
35.MMHAP12FRD11.seq	WC-1354
35.MMHAP14FLD5.seq	WC-1341
35.MMHAP20FLD5.seq	WC-728
35.MMHAP22FRD11.seq	WC-196
35.MMHAP23FLD5.seq	WC-119
35.MMHAP25FRD11.seq	WC-1533
35.MMHAP26FRD11.seq	WC-380
35.MMHAP27FLD5.seq	WC-895
35.MMHAP27FRD11.seq	WC-1115
35.MMHAP28FLD5.seq	WC-391
35.MMHAP28FRD11.seq	WC-596
36.MHAa63c12.seq	WC-407
36.MHAa63g12.seq	WC-1092
36.MHAa77c12.seq	WC-1286
36.MHAa91g12.seq	WC-95
36.MHAa92g12.seq	WC-482
36.MMHAP12FLD6.seq	WC-210
36.MMHAP14FLD6.seq	WC-1004
36.MMHAP25FLD6.seq	WC-347
36.MMHAP25FRD12.seq	WC-1574
36.MMHAP26FLD6.seq	WC-841
36.MMHAP26FRD12.seq	WC-811
36.MMHAP28FRD12.seq	WC-1080
36.MMHAP31FLD6.seq	WC-1283
36.mHAa3c12.seq	WC-1255
37.E1_9_6_95.seq	WC-1183
37.MHAa56h1.seq	WC-1317
37.MHAa58d1.seq	WC-1445
37.MHAa59d1.seq	WC-459
37.MHAa63d1.seq	WC-400
37.MHAa64h1.seq	WC-195
37.MHAa90d1.seq	WC-1250
37.MHAa91h1.seq	WC-932
37.MHAa92d1.seq	WC-14
37.MMHAP12FRE10.seq	WC-1688
